################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.4129888223934959E-01 a         1     0     1     1     1
  7.5749921470419501E+00 a         2     0     1     1     2
 -4.7826836734125443E+01 a         3     0     1     1     3
 -2.3110506290145548E+01 a         4     0     1     1     4
 -6.5111150335387435E+01 a         5     0     1     1     5
  5.8230519972651116E+01 a         6     0     1     1     6
 -8.3049347930233907E+01 a         7     0     1     1     7
 -4.4966135921139099E+01 a         8     0     1     1     8
 -5.2029587949053898E+01 a         9     0     1     1     9
  1.2255244642827243E+01 a        10     0     1     1    10
 -2.0429660214911891E+01 a        11     0     1     1    11
  1.4642070207439200E+01 a        12     0     1     1    12
  3.7301654256267028E+01 a        13     0     1     1    13
 -7.2672300565420954E+01 a        14     0     1     1    14
 -3.7431513768351209E+01 a        15     0     1     1    15
  4.7907462426651747E+01 a        16     0     1     1    16
  2.2743134893377864E+01 a        17     0     1     1    17
 -1.1574926391478886E+01 a        18     0     1     1    18
  2.9962766426042350E+01 a        19     0     1     1    19
 -4.6659806042055352E-01 a        20     0     1     1    20
 -1.5483868684779114E+01 a        21     0     1     1    21
  1.5297720227025865E+01 a        22     0     1     1    22
 -3.2913842675374610E+01 a        23     0     1     1    23
  5.5043502420177205E+01 a        24     0     1     1    24
  1.1369721361109345E+01 a        25     0     1     1    25
  4.5050431817517790E+01 a        26     0     1     1    26
  1.9267187808899450E+01 a        27     0     1     1    27
 -1.8542199578079249E+01 a        28     0     1     1    28
  2.1712384743263570E+01 a        29     0     1     1    29
 -2.6354659675343996E+01 a        30     0     1     1    30
  7.4767714019547304E-01 a        31     0     2     1     1
 -1.9633319955495264E+01 a        32     0     2     1     2
 -1.0239299758880710E+01 a        33     0     2     1     3
  4.4907734807286763E+00 a        34     0     2     1     4
 -2.3615496762867171E+01 a        35     0     2     1     5
 -5.5642090382877415E-02 a        36     0     2     1     6
 -2.6888124443238770E+01 a        37     0     2     1     7
  8.6231385573727737E-01 a        38     0     2     1     8
 -3.7713549119424701E+00 a        39     0     2     1     9
 -4.2961266934923730E+00 a        40     0     2     1    10
 -4.8324817017057553E+00 a        41     0     2     1    11
  1.1247919858046927E+01 a        42     0     2     1    12
  1.7762513450760352E+01 a        43     0     2     1    13
 -1.8657598350333270E+01 a        44     0     2     1    14
 -1.8851980224880410E+01 a        45     0     2     1    15
  1.9266109192740366E+01 a        46     0     2     1    16
  1.0579103710703317E+01 a        47     0     2     1    17
 -3.5626695836462008E+00 a        48     0     2     1    18
  1.2840935182737130E+01 a        49     0     2     1    19
  1.9768208060666574E+01 a        50     0     2     1    20
 -9.2095488735461153E+00 a        51     0     2     1    21
  2.0548494306525167E+00 a        52     0     2     1    22
 -1.4207093195097720E+00 a        53     0     2     1    23
  1.3059681482408314E+01 a        54     0     2     1    24
  1.5983139087313374E+01 a        55     0     2     1    25
  9.0385514561133230E-04 a        56     0     2     1    26
  5.6492211929342515E+00 a        57     0     2     1    27
  4.4432406524988597E+00 a        58     0     2     1    28
 -8.3410833898641386E+00 a        59     0     2     1    29
 -1.7741036991205718E+01 a        60     0     2     1    30
 -1.3572359184563585E+00 a        61     0     3     1     1
 -4.2271990174275977E+01 a        62     0     3     1     2
  1.8426769800560418E+01 a        63     0     3     1     3
  2.7472745500119416E+01 a        64     0     3     1     4
  4.8864564299343840E+00 a        65     0     3     1     5
 -4.6814023622665154E+01 a        66     0     3     1     6
  1.0210590549226026E+01 a        67     0     3     1     7
  3.7202674625053547E+01 a        68     0     3     1     8
  2.9949997486502703E+01 a        69     0     3     1     9
 -1.7290477488146401E+01 a        70     0     3     1    10
  1.1231219197205828E+01 a        71     0     3     1    11
  1.2538266874307787E+01 a        72     0     3     1    12
  1.1452412848482414E+01 a        73     0     3     1    13
  2.0743363737149512E+01 a        74     0     3     1    14
 -1.0473047024887540E+01 a        75     0     3     1    15
 -1.7941032824391849E+00 a        76     0     3     1    16
  9.0922813867388967E+00 a        77     0     3     1    17
  2.6478843035331390E+00 a        78     0     3     1    18
  1.8054797561475595E+00 a        79     0     3     1    19
  3.9950378910497747E+01 a        80     0     3     1    20
 -3.8523129780318142E+00 a        81     0     3     1    21
 -6.6460159739481375E+00 a        82     0     3     1    22
  2.3104362309868502E+01 a        83     0     3     1    23
 -1.7323234027197145E+01 a        84     0     3     1    24
  2.8000144992768142E+01 a        85     0     3     1    25
 -3.8354821710486803E+01 a        86     0     3     1    26
 -2.5103834886401266E+00 a        87     0     3     1    27
  2.1480642680499201E+01 a        88     0     3     1    28
 -3.3773174181458387E+01 a        89     0     3     1    29
 -1.0446470815157282E+01 a        90     0     3     1    30
 -1.9069577340554651E+00 a        91     0     4     1     1
  6.5971844474983143E-01 a        92     0     4     1     2
  2.7986111473109364E+01 a        93     0     4     1     3
  3.8658901164238834E+01 a        94     0     4     1     4
 -2.6301738300942553E+01 a        95     0     4     1     5
 -6.5876720382706793E+01 a        96     0     4     1     6
  9.0477503575800995E+00 a        97     0     4     1     7
  3.4413709904027165E+01 a        98     0     4     1     8
  2.8010492496930230E+01 a        99     0     4     1     9
 -3.0606613821903156E+01 a       100     0     4     1    10
  2.4363666509002933E+01 a       101     0     4     1    11
  3.6324143405754690E+01 a       102     0     4     1    12
 -1.2887151996013227E+01 a       103     0     4     1    13
  3.3184013557149768E+01 a       104     0     4     1    14
 -2.5693228965335305E+01 a       105     0     4     1    15
 -1.9714046652379025E+00 a       106     0     4     1    16
  1.9863461588561389E+01 a       107     0     4     1    17
  5.4578866016561873E+00 a       108     0     4     1    18
 -3.7302423055556888E+00 a       109     0     4     1    19
  2.4220220410658115E+01 a       110     0     4     1    20
  5.0240945615877264E+00 a       111     0     4     1    21
 -7.4516019215611031E+00 a       112     0     4     1    22
  2.2473511751865438E+01 a       113     0     4     1    23
 -3.8539934936066471E+00 a       114     0     4     1    24
  4.0926674645977265E+01 a       115     0     4     1    25
 -4.8557593682173533E+01 a       116     0     4     1    26
  3.1803245519137113E+00 a       117     0     4     1    27
  3.7909428171883945E+01 a       118     0     4     1    28
 -5.2206922402580112E+01 a       119     0     4     1    29
 -9.2412784507598307E+00 a       120     0     4     1    30
 -9.6193550338944833E-01 a       121     0     5     1     1
  3.9007019269127952E+01 a       122     0     5     1     2
  2.9186772749599532E+00 a       123     0     5     1     3
  1.8064478067781064E+01 a       124     0     5     1     4
 -4.3055515095976276E+01 a       125     0     5     1     5
 -3.7122195610184342E+01 a       126     0     5     1     6
 -2.7481741315314734E+00 a       127     0     5     1     7
  6.8605258036416963E+00 a       128     0     5     1     8
  3.2635700940853174E+00 a       129     0     5     1     9
 -1.8129558838026064E+01 a       130     0     5     1    10
  1.6591324274424952E+01 a       131     0     5     1    11
  3.2097064370968553E+01 a       132     0     5     1    12
 -3.0253492904907120E+01 a       133     0     5     1    13
  3.5128531634653633E+01 a       134     0     5     1    14
 -2.6903767702825863E+01 a       135     0     5     1    15
  4.2653551768423652E+00 a       136     0     5     1    16
  1.3208446731351229E+01 a       137     0     5     1    17
 -2.5330616664265393E+00 a       138     0     5     1    18
 -7.4384047300665141E+00 a       139     0     5     1    19
 -5.9208233236951333E+00 a       140     0     5     1    20
  1.5889703425912634E+01 a       141     0     5     1    21
  1.0356530837079583E+00 a       142     0     5     1    22
  1.3035664775587492E+00 a       143     0     5     1    23
  2.1513359835902921E+01 a       144     0     5     1    24
  3.4862976500572252E+01 a       145     0     5     1    25
 -1.7369743390677225E+01 a       146     0     5     1    26
  5.3888816305945886E+00 a       147     0     5     1    27
  2.0267819776731894E+01 a       148     0     5     1    28
 -2.7216074778044419E+01 a       149     0     5     1    29
  4.4533001056966244E+00 a       150     0     5     1    30
 -2.3497682274902010E+00 a       151     0     6     1     1
  7.4689086891176544E+00 a       152     0     6     1     2
  1.4180029863151637E+01 a       153     0     6     1     3
