################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.5311310731576677E+01 a         1     0     1     1     1
  5.4768443473774589E+01 a         2     0     1     1     2
 -1.4383039736743177E+00 a         3     0     1     1     3
  1.3136727654098909E+01 a         4     0     1     1     4
 -2.7594475179652271E+01 a         5     0     1     1     5
  7.1677090227578475E+00 a         6     0     1     1     6
  9.3935045941967688E-01 a         7     0     1     1     7
 -5.5367216745498510E+01 a         8     0     1     1     8
  1.5972167955161816E+00 a         9     0     1     1     9
  2.3304215362300603E+01 a        10     0     1     1    10
  9.3382916347999378E-01 a        11     0     1     1    11
 -1.9347380657323072E+01 a        12     0     1     1    12
  2.1101424725107922E+01 a        13     0     1     1    13
 -3.2974512563070997E+00 a        14     0     1     1    14
  3.4564645000195327E+01 a        15     0     1     1    15
  1.5764129689494402E+01 a        16     0     1     1    16
 -9.5033361345585343E-01 a        17     0     1     1    17
 -5.4592815614641932E-01 a        18     0     1     1    18
 -9.8181010028018623E-01 a        19     0     1     1    19
  8.6182074711165626E+01 a        20     0     1     1    20
  1.1815078495937671E+01 a        21     0     1     1    21
  1.5414782608124475E+00 a        22     0     1     1    22
  5.6957350471210866E+00 a        23     0     1     1    23
  3.3242778541762121E+01 a        24     0     1     1    24
 -1.2259136064297471E+00 a        25     0     1     1    25
  7.2480601712551040E+00 a        26     0     1     1    26
 -1.2927602521876520E+00 a        27     0     1     1    27
 -5.8930650870579742E+00 a        28     0     1     1    28
  9.8047834220433945E+00 a        29     0     1     1    29
  5.9568415916827222E+00 a        30     0     1     1    30
  1.2205385793656220E+01 a        31     0     2     1     1
  1.5369806501188265E+01 a        32     0     2     1     2
 -2.8980460042736453E+00 a        33     0     2     1     3
  3.0511606131496556E+01 a        34     0     2     1     4
  1.7755209913377147E+01 a        35     0     2     1     5
  1.1601262343814970E+01 a        36     0     2     1     6
 -1.0597475640948067E+01 a        37     0     2     1     7
 -1.5809285324338910E+01 a        38     0     2     1     8
 -6.0591152364661411E+00 a        39     0     2     1     9
  2.7449482645382042E+00 a        40     0     2     1    10
  2.1921100958108486E+00 a        41     0     2     1    11
  1.7650726848906505E+01 a        42     0     2     1    12
  1.0441832771428414E+01 a        43     0     2     1    13
  5.9938069242016363E+00 a        44     0     2     1    14
  1.4239562516461028E+00 a        45     0     2     1    15
  2.9718004837964296E+00 a        46     0     2     1    16
  1.1912555415588990E+01 a        47     0     2     1    17
 -3.3085359782237822E-01 a        48     0     2     1    18
  5.8983051209067314E+00 a        49     0     2     1    19
  3.4125957025096561E+01 a        50     0     2     1    20
 -7.6987113607595212E+00 a        51     0     2     1    21
  1.1893157195879233E+01 a        52     0     2     1    22
  1.2817210762197874E+01 a        53     0     2     1    23
  2.3176018271627754E+01 a        54     0     2     1    24
  3.0132297553975067E+00 a        55     0     2     1    25
 -4.0663295794173653E+00 a        56     0     2     1    26
  6.4653544782160779E+00 a        57     0     2     1    27
 -1.8478565535330961E+01 a        58     0     2     1    28
  2.7558571456930050E+00 a        59     0     2     1    29
  5.3259171050344589E+00 a        60     0     2     1    30
  3.5649482717657676E+01 a        61     0     3     1     1
 -1.1474138208552855E+01 a        62     0     3     1     2
 -4.1841517985963108E+00 a        63     0     3     1     3
  3.8510456361622637E+01 a        64     0     3     1     4
  4.5519516628556353E+01 a        65     0     3     1     5
  1.6584593439941234E+01 a        66     0     3     1     6
 -1.9018149130900799E+01 a        67     0     3     1     7
  1.0431959157896120E+01 a        68     0     3     1     8
  5.9670022080474494E+00 a        69     0     3     1     9
 -1.0295627958226094E+01 a        70     0     3     1    10
  2.3819176753202354E+00 a        71     0     3     1    11
  4.5074459576183187E+01 a        72     0     3     1    12
  2.3472182091417606E+00 a        73     0     3     1    13
  8.7741236436971271E+00 a        74     0     3     1    14
 -2.3014334004037263E+01 a        75     0     3     1    15
 -1.0475255443710113E+01 a        76     0     3     1    16
  1.9479537773416908E+01 a        77     0     3     1    17
 -1.0804660613429275E-01 a        78     0     3     1    18
  1.0444409680384350E+01 a        79     0     3     1    19
 -6.4125539653008170E+00 a        80     0     3     1    20
 -2.1564993836223817E+01 a        81     0     3     1    21
 -8.4785480638124273E+00 a        82     0     3     1    22
  2.1120006434303967E+01 a        83     0     3     1    23
  1.4312342886467210E+01 a        84     0     3     1    24
  2.6685308268291319E+00 a        85     0     3     1    25
 -1.3347392069158078E+01 a        86     0     3     1    26
  1.0829423941021812E+01 a        87     0     3     1    27
 -2.4709287151942242E+01 a        88     0     3     1    28
 -2.5295480858484329E+00 a        89     0     3     1    29
 -4.9380530439781847E+00 a        90     0     3     1    30
  1.7216623245965941E+01 a        91     0     4     1     1
  1.0140291416599240E+01 a        92     0     4     1     2
 -1.1189346200180367E+01 a        93     0     4     1     3
  4.4153236244201452E+01 a        94     0     4     1     4
  1.6313681440978982E+01 a        95     0     4     1     5
  3.0439088428449921E+01 a        96     0     4     1     6
 -9.8279778651929188E+00 a        97     0     4     1     7
  3.3266420543257573E+00 a        98     0     4     1     8
 -3.2914378755904934E+01 a        99     0     4     1     9
 -2.0456037107246487E+01 a       100     0     4     1    10
  9.5320056337708081E+00 a       101     0     4     1    11
  3.8410545299907653E+01 a       102     0     4     1    12
  2.7539640170909836E+00 a       103     0     4     1    13
  3.0977092960112095E+01 a       104     0     4     1    14
  6.8111371437619859E+00 a       105     0     4     1    15
 -1.5251144210204659E+01 a       106     0     4     1    16
  1.3774347144216680E+01 a       107     0     4     1    17
 -1.8040552254263738E+00 a       108     0     4     1    18
  5.6634411387148882E+00 a       109     0     4     1    19
 -3.0775884942646794E+01 a       110     0     4     1    20
 -1.0192016981587820E+01 a       111     0     4     1    21
  1.9786873005979594E+01 a       112     0     4     1    22
 -3.4052368880399082E+00 a       113     0     4     1    23
  5.8454240031320097E+00 a       114     0     4     1    24
  1.7216057317976404E+01 a       115     0     4     1    25
 -5.4677945513323740E+00 a       116     0     4     1    26
  1.1780579951998609E+01 a       117     0     4     1    27
 -2.4077117656766667E+01 a       118     0     4     1    28
 -7.8732060913746036E+00 a       119     0     4     1    29
  2.5222515056054259E+01 a       120     0     4     1    30
  1.1942977054793444E+00 a       121     0     5     1     1
  2.8675149893455345E+01 a       122     0     5     1     2
 -1.6608353947715685E+01 a       123     0     5     1     3
 -3.0464964010577788E+01 a       124     0     5     1     4
 -4.8124148469928926E+01 a       125     0     5     1     5
  3.1623763472651881E+01 a       126     0     5     1     6
  2.2042605170516737E+01 a       127     0     5     1     7
 -1.1288556677366106E+01 a       128     0     5     1     8
  5.1144867019058601E+01 a       129     0     5     1     9
 -3.9795529418788536E+00 a       130     0     5     1    10
  7.3500514465619160E-01 a       131     0     5     1    11
 -5.3429227308793479E+00 a       132     0     5     1    12
 -7.5713031642762001E+00 a       133     0     5     1    13
  9.2535314354575107E+00 a       134     0     5     1    14
  2.7216522443366504E+01 a       135     0     5     1    15
 -2.5712715975793735E+01 a       136     0     5     1    16
 -1.9966364573807844E+01 a       137     0     5     1    17
  7.0035264320646649E+00 a       138     0     5     1    18
 -1.3459957707590020E+01 a       139     0     5     1    19
 -4.9089524066680518E+01 a       140     0     5     1    20
  2.1137149229082151E+01 a       141     0     5     1    21
 -4.4342507780005533E+01 a       142     0     5     1    22
 -1.3330409331914460E+01 a       143     0     5     1    23
 -7.1920737712401843E+00 a       144     0     5     1    24
  6.1660655292379092E+00 a       145     0     5     1    25
 -1.0674895046269336E+01 a       146     0     5     1    26
  2.8833226680496300E+00 a       147     0     5     1    27
  1.6340423202201979E+01 a       148     0     5     1    28
 -1.3521937882556026E+01 a       149     0     5     1    29
 -3.8578525113806577E+01 a       150     0     5     1    30
 -1.9445995898678206E+00 a       151     0     6     1     1
 -1.5418598711108503E+01 a       152     0     6     1     2
  3.5165635761547276E+00 a       153     0     6     1     3
 -1.4701738520705916E+01 a       154     0     6     1     4
 -1.0152703215163210E+00 a       155     0     6     1     5
 -8.4726640797607562E+00 a       156     0     6     1     6
  3.4703929166251091E+00 a       157     0     6     1     7
  1.7410291613600588E+01 a       158     0     6     1     8
  1.0117379424932857E+00 a       159     0     6     1     9
 -6.2547381947258742E+00 a       160     0     6     1    10
 -1.4295138544460124E+00 a       161     0     6     1    11
 -5.0350316385682268E+00 a       162     0     6     1    12
 -8.9782501436978830E+00 a       163     0     6     1    13
 -2.5347658968241471E+00 a       164     0     6     1    14
 -8.3393784162901632E+00 a       165     0     6     1    15
 -3.8033767844482274E+00 a       166     0     6     1    16
 -3.3962492584505219E+00 a       167     0     6     1    17
  2.5500264898328334E-01 a       168     0     6     1    18
 -2.7439692848494985E+00 a       169     0     6     1    19
 -2.2992597475467996E+01 a       170     0     6     1    20
 -8.6038804615535580E-01 a       171     0     6     1    21
 -2.6789529215879173E+00 a       172     0     6     1    22
 -6.9017655613429332E+00 a       173     0     6     1    23
 -1.8094196461919577E+01 a       174     0     6     1    24
 -1.2331936939495729E+00 a       175     0     6     1    25
  1.5191228319339808E-01 a       176     0     6     1    26
 -1.9350233263589782E+00 a       177     0     6     1    27
  9.0711616430932587E+00 a       178     0     6     1    28
 -2.8290542237891851E+00 a       179     0     6     1    29
 -3.1654188197779374E+00 a       180     0     6     1    30
 -2.7657439962955863E+01 a       181     0     7     1     1
 -5.9902372580536314E+00 a       182     0     7     1     2
  2.3981274547145546E+01 a       183     0     7     1     3
 -8.6640257808114896E+01 a       184     0     7     1     4
  1.0637429891079492E+01 a       185     0     7     1     5
 -3.3145287950137146E+01 a       186     0     7     1     6
  3.8110536634087429E+00 a       187     0     7     1     7
 -2.8225287828498473E+00 a       188     0     7     1     8
 -3.2407343258050147E+01 a       189     0     7     1     9
  1.2295819819001556E+01 a       190     0     7     1    10
 -1.1081677554865429E+01 a       191     0     7     1    11
 -2.5872870616000466E+01 a       192     0     7     1    12
  7.9018174090762043E+00 a       193     0     7     1    13
 -1.3762024630881132E+01 a       194     0     7     1    14
 -2.5249301726883203E+01 a       195     0     7     1    15
  1.3530274612272958E+01 a       196     0     7     1    16
 -1.4201988969404898E+01 a       197     0     7     1    17
  6.2440774905637921E+00 a       198     0     7     1    18
 -1.0581773973470958E+00 a       199     0     7     1    19
  7.6531268014088494E-01 a       200     0     7     1    20
  1.1220370385173744E+01 a       201     0     7     1    21
  2.6936241320586163E+01 a       202     0     7     1    22
  2.5572465237694040E+01 a       203     0     7     1    23
 -4.3717902455560544E+00 a       204     0     7     1    24
 -1.8058737518019324E+01 a       205     0     7     1    25
  9.7178724935343941E-01 a       206     0     7     1    26
 -6.0023617249489911E+00 a       207     0     7     1    27
  3.0127439857676661E+00 a       208     0     7     1    28
 -7.4098398804770955E+00 a       209     0     7     1    29
  2.2727631155553077E+01 a       210     0     7     1    30
 -1.3848001205218809E+01 a       211     0     8     1     1
 -1.8153583954709909E+01 a       212     0     8     1     2
  5.7138513759890479E+00 a       213     0     8     1     3
 -2.7224531877216911E+01 a       214     0     8     1     4
 -8.4286848941260715E+00 a       215     0     8     1     5
 -1.7177412835249335E+01 a       216     0     8     1     6
  9.0334661994955567E+00 a       217     0     8     1     7
  1.4306646423259982E+01 a       218     0     8     1     8
  2.6845679669924385E+00 a       219     0     8     1     9
  1.1881596687373341E+00 a       220     0     8     1    10
 -3.3625028087234718E+00 a       221     0     8     1    11
 -1.9441581768287058E+01 a       222     0     8     1    12
 -8.8407672941101723E+00 a       223     0     8     1    13
 -8.3497605216223363E+00 a       224     0     8     1    14
 -5.8028966817403989E+00 a       225     0     8     1    15
  3.1812740184769757E+00 a       226     0     8     1    16
 -9.8002453357808825E+00 a       227     0     8     1    17
  4.9980442916437806E-01 a       228     0     8     1    18
 -4.0614263776025794E+00 a       229     0     8     1    19
 -2.4462854565961319E+01 a       230     0     8     1    20
  5.4030160590991541E+00 a       231     0     8     1    21
 -2.0694330460647108E+00 a       232     0     8     1    22
 -7.4046401371595172E+00 a       233     0     8     1    23
 -1.6110756797384429E+01 a       234     0     8     1    24
 -4.4605313276235421E+00 a       235     0     8     1    25
  4.5956071195188226E+00 a       236     0     8     1    26
 -6.8752760477399226E+00 a       237     0     8     1    27
  1.9630820205201843E+01 a       238     0     8     1    28
  1.1195002515942829E+00 a       239     0     8     1    29
 -3.7049889439979444E+00 a       240     0     8     1    30
  6.0321883006802679E+00 a       241     0     9     1     1
 -1.2504509434954953E+01 a       242     0     9     1     2
 -9.5985307995708311E+00 a       243     0     9     1     3
  2.6861630527361694E+01 a       244     0     9     1     4
 -8.9919326001394175E+00 a       245     0     9     1     5
 -4.8338893120781962E-01 a       246     0     9     1     6
  2.2499372460361919E+00 a       247     0     9     1     7
  2.6789482779883826E+01 a       248     0     9     1     8
  7.7978607610533714E+00 a       249     0     9     1     9
  4.3960838456492484E+00 a       250     0     9     1    10
  4.5910993155627955E-01 a       251     0     9     1    11
 -4.0409960424163627E+00 a       252     0     9     1    12
 -1.4603421389448490E+00 a       253     0     9     1    13
  2.6632382487059525E+00 a       254     0     9     1    14
  6.5186943840288532E+00 a       255     0     9     1    15
  2.2121363676337338E+00 a       256     0     9     1    16
  8.8149521740758772E+00 a       257     0     9     1    17
 -9.9077768758321110E+00 a       258     0     9     1    18
 -1.1554665558300962E-01 a       259     0     9     1    19
  1.0769219494587816E+01 a       260     0     9     1    20
 -3.5066170995397350E+00 a       261     0     9     1    21
 -4.9177030909632604E+00 a       262     0     9     1    22
  1.7121758958091846E-01 a       263     0     9     1    23
  1.4086649786580865E+00 a       264     0     9     1    24
  1.1793741770163090E+01 a       265     0     9     1    25
  2.3070495343655097E+00 a       266     0     9     1    26
 -2.1590725191029261E+00 a       267     0     9     1    27
  1.2443927293744723E+00 a       268     0     9     1    28
  2.2599263068118920E+00 a       269     0     9     1    29
 -4.4375593159653173E+00 a       270     0     9     1    30
  1.1151501959964308E-01 a       271     0    10     1     1
  1.1952088324459662E+00 a       272     0    10     1     2
  6.7780711475945499E-01 a       273     0    10     1     3
 -1.9415722609765276E+00 a       274     0    10     1     4
  6.5448954072295307E-01 a       275     0    10     1     5
  3.3069384340554418E-02 a       276     0    10     1     6
