################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.7459985951965194E+01 a       117     0     4     1    27
  8.3773818858385667E+00 a       118     0     4     1    28
  2.9653609424621186E+00 a       119     0     4     1    29
  7.4118174345737859E+00 a       120     0     4     1    30
  2.1607825365023270E+01 a       121     0     5     1     1
 -8.1805723844802216E+00 a       122     0     5     1     2
  1.6686533897638903E+01 a       123     0     5     1     3
 -4.4378449707315582E+01 a       124     0     5     1     4
  3.9461275034475524E-01 a       125     0     5     1     5
  1.4513831421128490E+01 a       126     0     5     1     6
  1.0392544026251734E+01 a       127     0     5     1     7
 -2.0072187704348146E+01 a       128     0     5     1     8
  8.3592139580146991E+00 a       129     0     5     1     9
 -1.9121955384515392E+01 a       130     0     5     1    10
 -7.3969072627001564E+00 a       131     0     5     1    11
  7.5757353553898890E+00 a       132     0     5     1    12
  1.3074534127820961E+01 a       133     0     5     1    13
 -1.3632560295696466E+01 a       134     0     5     1    14
 -2.0734825669112801E+01 a       135     0     5     1    15
  1.4551791711984292E+01 a       136     0     5     1    16
 -1.8794248317141317E+01 a       137     0     5     1    17
  2.5561926106063460E+01 a       138     0     5     1    18
  3.7010063162044048E+01 a       139     0     5     1    19
  2.4952897265343807E+01 a       140     0     5     1    20
  6.0154743353477143E+00 a       141     0     5     1    21
 -3.3120480223389237E+01 a       142     0     5     1    22
 -8.1326749832603173E+00 a       143     0     5     1    23
  1.7904441153986578E+01 a       144     0     5     1    24
 -1.0029007076772402E+01 a       145     0     5     1    25
 -2.3230055520486609E+01 a       146     0     5     1    26
 -5.9625209712724123E+00 a       147     0     5     1    27
  3.4153423680580865E+01 a       148     0     5     1    28
  5.6831442699509807E-02 a       149     0     5     1    29
  8.0559576602482927E+00 a       150     0     5     1    30
  3.2438928698021513E+01 a       151     0     6     1     1
  2.0744170809885962E+00 a       152     0     6     1     2
  6.9489082392525860E+00 a       153     0     6     1     3
 -1.1673421987326034E+01 a       154     0     6     1     4
  1.5059595545355471E+00 a       155     0     6     1     5
  8.0696270412692683E-01 a       156     0     6     1     6
  4.3391022527445822E+00 a       157     0     6     1     7
 -5.4422126472933599E+00 a       158     0     6     1     8
 -1.3166612683437503E+01 a       159     0     6     1     9
 -2.4335304694119611E-01 a       160     0     6     1    10
  2.6844795175485668E+01 a       161     0     6     1    11
 -2.3643024240607327E+00 a       162     0     6     1    12
  9.0578642886602232E+00 a       163     0     6     1    13
 -2.8713284790984419E+00 a       164     0     6     1    14
 -7.7136948314615568E+00 a       165     0     6     1    15
  1.5185913902231118E+01 a       166     0     6     1    16
  2.6300162306181529E+00 a       167     0     6     1    17
  1.6777750062770597E+01 a       168     0     6     1    18
  4.7248259151762566E+00 a       169     0     6     1    19
  6.3561356311363451E+00 a       170     0     6     1    20
  6.6578696931794408E+00 a       171     0     6     1    21
 -5.0024660652512098E+00 a       172     0     6     1    22
 -4.3943161719866355E+00 a       173     0     6     1    23
 -4.9755846021120318E+00 a       174     0     6     1    24
  3.8652600344868002E+00 a       175     0     6     1    25
 -3.6311844768410841E+00 a       176     0     6     1    26
  4.3912789905593064E+00 a       177     0     6     1    27
  8.4761542487899195E+00 a       178     0     6     1    28
  2.8611582275336120E+00 a       179     0     6     1    29
 -1.1677437146888344E+01 a       180     0     6     1    30
  2.8462634328427391E+01 a       181     0     7     1     1
 -1.6512170193282943E-01 a       182     0     7     1     2
 -1.2394848004009566E+01 a       183     0     7     1     3
  3.3583882785370314E+01 a       184     0     7     1     4
 -2.4128185667982800E+00 a       185     0     7     1     5
  1.1511062370191972E+01 a       186     0     7     1     6
 -1.7302701553641850E+01 a       187     0     7     1     7
  2.6168630867102721E+01 a       188     0     7     1     8
  2.4898516831865969E+01 a       189     0     7     1     9
  1.6949240623334390E+01 a       190     0     7     1    10
 -1.9909804170976578E+01 a       191     0     7     1    11
  6.4775813463846017E+00 a       192     0     7     1    12
 -1.5758013383513703E+01 a       193     0     7     1    13
  1.1182534265647469E+01 a       194     0     7     1    14
  1.2214430213664400E+01 a       195     0     7     1    15
  1.2230596001020883E+01 a       196     0     7     1    16
  2.0728770813078608E+01 a       197     0     7     1    17
 -5.8946495024146639E+00 a       198     0     7     1    18
 -1.2796100856395126E+01 a       199     0     7     1    19
 -4.1844455247974333E-01 a       200     0     7     1    20
  2.1923271607184525E+01 a       201     0     7     1    21
  1.7514238199081479E+01 a       202     0     7     1    22
  1.3084302097348159E+00 a       203     0     7     1    23
 -4.9418772892802814E+01 a       204     0     7     1    24
  2.5561729652981979E+00 a       205     0     7     1    25
  1.2954330940207603E+01 a       206     0     7     1    26
  1.3614784176300882E+01 a       207     0     7     1    27
 -1.8462253161407538E+01 a       208     0     7     1    28
 -2.6623588660307900E+00 a       209     0     7     1    29
 -9.3469371844666327E+00 a       210     0     7     1    30
  2.9967844918795166E+01 a       211     0     8     1     1
 -4.7170517544202024E+00 a       212     0     8     1     2
  2.9851325760002922E-01 a       213     0     8     1     3
  3.9952089076460723E+01 a       214     0     8     1     4
 -2.2062765800091038E+00 a       215     0     8     1     5
 -1.2260191610581296E+01 a       216     0     8     1     6
  2.6400644217042761E+00 a       217     0     8     1     7
  8.5373562180501494E+00 a       218     0     8     1     8
 -2.6087393194581487E+00 a       219     0     8     1     9
  1.7881725126481165E+01 a       220     0     8     1    10
  1.7617989332116775E+01 a       221     0     8     1    11
  3.3467671933536245E+00 a       222     0     8     1    12
  4.5531503306761767E+00 a       223     0     8     1    13
  8.5343530589816723E+00 a       224     0     8     1    14
  9.5356800547548257E+00 a       225     0     8     1    15
  8.3762683177662201E+00 a       226     0     8     1    16
  2.7255944480230443E+01 a       227     0     8     1    17
  3.2075670463287061E+01 a       228     0     8     1    18
  9.7423505239192369E+00 a       229     0     8     1    19
 -1.9778342282637929E+01 a       230     0     8     1    20
  9.4062429360220499E+00 a       231     0     8     1    21
  3.4314619021981199E+00 a       232     0     8     1    22
 -1.2853032473135709E+01 a       233     0     8     1    23
 -3.9873645874492951E+01 a       234     0     8     1    24
  2.2812006972485943E+01 a       235     0     8     1    25
  3.0537354865945958E+00 a       236     0     8     1    26
  2.1551868620034526E+01 a       237     0     8     1    27
  9.7587392010099752E+00 a       238     0     8     1    28
  2.6600618945334644E+00 a       239     0     8     1    29
 -2.0618430993974059E+01 a       240     0     8     1    30
 -1.1552416377816378E+01 a       241     0     9     1     1
  2.2196494396862390E+00 a       242     0     9     1     2
  3.8006249420677118E+00 a       243     0     9     1     3
  5.0359214748676051E-01 a       244     0     9     1     4
  4.0654750073117025E+00 a       245     0     9     1     5
  2.9829873154710955E+00 a       246     0     9     1     6
  5.0200157041766214E-01 a       247     0     9     1     7
  5.5388021948895521E+00 a       248     0     9     1     8
  8.1466775283992447E+00 a       249     0     9     1     9
  1.7323183101216670E+00 a       250     0     9     1    10
 -1.3849537153757076E+01 a       251     0     9     1    11
 -2.6173756854315746E+00 a       252     0     9     1    12
  1.7507743858583835E+00 a       253     0     9     1    13
 -4.4246784594381889E+00 a       254     0     9     1    14
 -4.4253110152830413E+00 a       255     0     9     1    15
  4.3410000699908764E+00 a       256     0     9     1    16
 -6.6781018445737477E+00 a       257     0     9     1    17
  5.0700094286420745E+00 a       258     0     9     1    18
  1.1788386456585196E+00 a       259     0     9     1    19
  5.4373121955211356E+00 a       260     0     9     1    20
 -6.3120527510061775E-01 a       261     0     9     1    21
 -2.2553833477027738E+00 a       262     0     9     1    22
 -1.3150378826222966E+00 a       263     0     9     1    23
  1.2985663247184892E+01 a       264     0     9     1    24
 -3.8954752778017911E+00 a       265     0     9     1    25
  3.9269359996563864E+00 a       266     0     9     1    26
 -9.1708227870000698E+00 a       267     0     9     1    27
  3.5277290122787379E+00 a       268     0     9     1    28
  9.2180486904780501E-01 a       269     0     9     1    29
 -3.5360383299910331E-01 a       270     0     9     1    30
  2.7306730947302711E+00 a       271     0    10     1     1
 -6.9650670772631496E-01 a       272     0    10     1     2
 -1.5579014953483628E-01 a       273     0    10     1     3
 -1.6447217127234967E-01 a       274     0    10     1     4
 -9.8305451456966686E-01 a       275     0    10     1     5
 -3.6659716002248195E+00 a       276     0    10     1     6
  7.5659359575993590E-01 a       277     0    10     1     7
 -2.1775260393447433E+00 a       278     0    10     1     8
 -2.3053865180086142E+00 a       279     0    10     1     9
 -8.2755991452796795E-01 a       280     0    10     1    10
  5.9193298244188490E+00 a       281     0    10     1    11
  4.3439999326334272E-01 a       282     0    10     1    12
 -1.6161199411179716E+00 a       283     0    10     1    13
  1.2278120835159829E+00 a       284     0    10     1    14
  8.4846571529530157E-01 a       285     0    10     1    15
 -2.7554380046541325E+00 a       286     0    10     1    16
  2.0406037340933962E+00 a       287     0    10     1    17
 -2.6731156517763646E+00 a       288     0    10     1    18
 -4.3135158485530286E-03 a       289     0    10     1    19
 -2.8008082196256088E+00 a       290     0    10     1    20
 -2.8472849299991138E-01 a       291     0    10     1    21
  2.2630652976870441E-01 a       292     0    10     1    22
 -3.1961501677014065E-01 a       293     0    10     1    23
 -2.0573973428652241E+00 a       294     0    10     1    24
  1.7545196275294797E+00 a       295     0    10     1    25
 -1.6261842291173856E+00 a       296     0    10     1    26
  2.1120584827806308E+00 a       297     0    10     1    27
 -2.5107727039027822E-01 a       298     0    10     1    28
 -1.2566011596129958E-03 a       299     0    10     1    29
 -1.5410547944936670E-01 a       300     0    10     1    30
 -7.1790157259919773E+00 a       301     0    11     1     1
 -6.3268328890563179E+00 a       302     0    11     1     2
 -5.4334429009920013E+00 a       303     0    11     1     3
  4.6764846374440410E+01 a       304     0    11     1     4
 -2.7910292797756946E+00 a       305     0    11     1     5
 -3.7578002251819363E+01 a       306     0    11     1     6
  1.9002417382415446E+00 a       307     0    11     1     7
  1.0237545663217329E+01 a       308     0    11     1     8
 -1.8444555780002609E+01 a       309     0    11     1     9
  2.5397197972984774E+01 a       310     0    11     1    10
  1.3085211452155844E+01 a       311     0    11     1    11
 -2.9007472079387417E+00 a       312     0    11     1    12
 -2.3529993048357807E+00 a       313     0    11     1    13
  9.5974007848732228E+00 a       314     0    11     1    14
  2.0402222389877714E+01 a       315     0    11     1    15
 -1.0004430515218614E+01 a       316     0    11     1    16
  2.5727659290445335E+01 a       317     0    11     1    17
  1.8045914541662469E+01 a       318     0    11     1    18
  1.1704336836570959E+00 a       319     0    11     1    19
 -3.9291103425426030E+01 a       320     0    11     1    20
 -1.2589016530785915E+00 a       321     0    11     1    21
  1.1541197218044806E+01 a       322     0    11     1    22
 -1.0707023641430442E+01 a       323     0    11     1    23
 -3.3720286781710925E+01 a       324     0    11     1    24
  3.3262775078705054E+01 a       325     0    11     1    25
  8.6758465558382092E+00 a       326     0    11     1    26
  2.1206057298903165E+01 a       327     0    11     1    27
  1.4879262728176161E+00 a       328     0    11     1    28
  3.1002385636877938E+00 a       329     0    11     1    29
 -1.9300721697292261E+01 a       330     0    11     1    30
 -5.8267769000319154E+00 a       331     0    12     1     1
 -3.2095990973038959E+00 a       332     0    12     1     2
 -1.3257501026356868E+00 a       333     0    12     1     3
  9.7663836049015984E+00 a       334     0    12     1     4
 -3.6398022678544892E+00 a       335     0    12     1     5
 -1.1881702717830040E+01 a       336     0    12     1     6
  9.1466431261130854E+00 a       337     0    12     1     7
 -1.1062717564859851E+01 a       338     0    12     1     8
 -2.2004110241889759E+01 a       339     0    12     1     9
  3.4612352185653688E+00 a       340     0    12     1    10
  2.3584457811138680E+01 a       341     0    12     1    11
 -1.2476931771436542E-01 a       342     0    12     1    12
 -2.1067660054607882E+00 a       343     0    12     1    13
  2.6543489542512524E+00 a       344     0    12     1    14
  1.2013375804352478E+01 a       345     0    12     1    15
 -1.8460228015320542E+01 a       346     0    12     1    16
  8.7590580119308932E+00 a       347     0    12     1    17
  1.7094668191804663E+00 a       348     0    12     1    18
  4.3614148544034731E-01 a       349     0    12     1    19
 -2.1732069947399065E+01 a       350     0    12     1    20
 -1.4307140316773607E+01 a       351     0    12     1    21
  2.2732989376376884E+00 a       352     0    12     1    22
 -1.5612813789083799E+00 a       353     0    12     1    23
 -3.5346439953574533E+00 a       354     0    12     1    24
  1.5479365735709607E+01 a       355     0    12     1    25
  3.4092334980308181E-01 a       356     0    12     1    26
  1.2350642076768001E+01 a       357     0    12     1    27
 -3.0795115190821265E-01 a       358     0    12     1    28
  3.2632196471213369E-02 a       359     0    12     1    29
 -2.5108780509821602E+00 a       360     0    12     1    30
  1.2257528253487835E+00 a       361     0    13     1     1
 -2.8890905679459888E-01 a       362     0    13     1     2
  1.2005289123735237E+00 a       363     0    13     1     3
  6.2076153020525204E-01 a       364     0    13     1     4
 -1.6587501912903668E-01 a       365     0    13     1     5
 -6.5052456518161001E+00 a       366     0    13     1     6
  1.1406730447511475E+00 a       367     0    13     1     7
 -6.4709232416596774E-01 a       368     0    13     1     8
  4.7304679239534758E-01 a       369     0    13     1     9
 -5.0287712105884774E-01 a       370     0    13     1    10
  4.7960121574692707E+00 a       371     0    13     1    11
  4.5171065068991456E-01 a       372     0    13     1    12
 -2.7174740653637466E+00 a       373     0    13     1    13
  8.5973432316252485E-01 a       374     0    13     1    14
 -6.8356382417704184E-02 a       375     0    13     1    15
 -3.3363047915244484E+00 a       376     0    13     1    16
  1.6434924559423989E+00 a       377     0    13     1    17
 -3.5706308020835582E+00 a       378     0    13     1    18
  9.1560446548874408E-02 a       379     0    13     1    19
 -2.5615122480158634E+00 a       380     0    13     1    20
 -6.8793652548751583E-02 a       381     0    13     1    21
 -3.0158455721615512E-01 a       382     0    13     1    22
 -1.3335260512178289E+00 a       383     0    13     1    23
  6.1679659306721944E-02 a       384     0    13     1    24
  1.9834949040041254E+00 a       385     0    13     1    25
 -1.3812260215821386E+00 a       386     0    13     1    26
  6.1924572599746852E-01 a       387     0    13     1    27
  2.5180002324687251E-01 a       388     0    13     1    28
 -3.1234211816902339E-02 a       389     0    13     1    29
 -1.3147363490510797E-01 a       390     0    13     1    30
 -3.4835010365824554E-01 a       391     0    14     1     1
  5.8058426050851528E-02 a       392     0    14     1     2
 -4.6366269158535833E-01 a       393     0    14     1     3
 -2.3593350944310504E-01 a       394     0    14     1     4
 -1.2191565048337513E-01 a       395     0    14     1     5
